node,color
19B,white
20A,white
20B,white
20C,white
20D,white
20E (EU1),white
20F,white
20G,white
"20H (Beta, V2)",green
"20I (Alpha, V1)",green
"20J (Gamma, V3)",green
21A (Delta),yellow
21B (Kappa),green
21C (Epsilon),green
21D (Eta),green
21F (Iota),green
21G (Lambda),green
21H (Mu),green
21I (Delta),yellow
21J (Delta),yellow
21K (Omicron),blue
21L (Omicron),blue
22A (Omicron),blue
22B (Omicron),blue
22C (Omicron),blue
22D (Omicron),blue
22E (Omicron),blue
22F (Omicron),blue
BA.2,red
BA.2.75,red
BA.5.1,red
BM.1.1.1,red
XAF,red
XAM,red
XAZ,red
XB,red
XBC.1,red
XBC.2,red
XBD,red
XBF,red
XBH,red
